instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Day_type,year,season_label,weather_label
19,2011-01-01,1,0,1,18.0,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Hari Libur,2011,Spring,Sedikit Buruk
20,2011-01-01,1,0,1,19.0,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Hari Libur,2011,Spring,Sedikit Buruk
21,2011-01-01,1,0,1,20.0,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Hari Libur,2011,Spring,Sedang
22,2011-01-01,1,0,1,21.0,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,Hari Libur,2011,Spring,Sedang
23,2011-01-01,1,0,1,22.0,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Hari Libur,2011,Spring,Sedang
24,2011-01-01,1,0,1,23.0,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Hari Libur,2011,Spring,Sedang
25,2011-01-02,1,0,1,0.0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Hari Libur,2011,Spring,Sedang
26,2011-01-02,1,0,1,1.0,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Hari Libur,2011,Spring,Sedang
27,2011-01-02,1,0,1,2.0,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Hari Libur,2011,Spring,Sedang
28,2011-01-02,1,0,1,3.0,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Hari Libur,2011,Spring,Sedang
29,2011-01-02,1,0,1,4.0,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Hari Libur,2011,Spring,Sedang
30,2011-01-02,1,0,1,6.0,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Hari Libur,2011,Spring,Sedikit Buruk
31,2011-01-02,1,0,1,7.0,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Hari Libur,2011,Spring,Sedang
32,2011-01-02,1,0,1,8.0,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Hari Libur,2011,Spring,Sedikit Buruk
33,2011-01-02,1,0,1,9.0,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Hari Libur,2011,Spring,Sedang
34,2011-01-02,1,0,1,10.0,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Hari Libur,2011,Spring,Sedang
35,2011-01-02,1,0,1,11.0,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Hari Libur,2011,Spring,Sedang
36,2011-01-02,1,0,1,12.0,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Hari Libur,2011,Spring,Sedang
37,2011-01-02,1,0,1,13.0,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Hari Libur,2011,Spring,Sedang
38,2011-01-02,1,0,1,14.0,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Hari Libur,2011,Spring,Sedikit Buruk
39,2011-01-02,1,0,1,15.0,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Hari Libur,2011,Spring,Sedikit Buruk
40,2011-01-02,1,0,1,16.0,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Hari Libur,2011,Spring,Sedikit Buruk
41,2011-01-02,1,0,1,17.0,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Hari Libur,2011,Spring,Baik
42,2011-01-02,1,0,1,18.0,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Hari Libur,2011,Spring,Sedang
43,2011-01-02,1,0,1,19.0,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Hari Libur,2011,Spring,Baik
44,2011-01-02,1,0,1,20.0,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Hari Libur,2011,Spring,Baik
45,2011-01-02,1,0,1,21.0,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Hari Libur,2011,Spring,Baik
46,2011-01-02,1,0,1,22.0,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Hari Libur,2011,Spring,Baik
47,2011-01-02,1,0,1,23.0,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Hari Libur,2011,Spring,Baik
48,2011-01-03,1,0,1,0.0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Hari Kerja,2011,Spring,Baik
49,2011-01-03,1,0,1,1.0,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Hari Kerja,2011,Spring,Baik
50,2011-01-03,1,0,1,4.0,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Hari Kerja,2011,Spring,Baik
51,2011-01-03,1,0,1,5.0,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Hari Kerja,2011,Spring,Baik
52,2011-01-03,1,0,1,6.0,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Hari Kerja,2011,Spring,Baik
53,2011-01-03,1,0,1,7.0,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Hari Kerja,2011,Spring,Baik
54,2011-01-03,1,0,1,8.0,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Hari Kerja,2011,Spring,Baik
55,2011-01-03,1,0,1,9.0,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Hari Kerja,2011,Spring,Baik
56,2011-01-03,1,0,1,10.0,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Hari Kerja,2011,Spring,Baik
57,2011-01-03,1,0,1,11.0,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Hari Kerja,2011,Spring,Baik
58,2011-01-03,1,0,1,12.0,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Hari Kerja,2011,Spring,Baik
59,2011-01-03,1,0,1,13.0,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Hari Kerja,2011,Spring,Baik
60,2011-01-03,1,0,1,14.0,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Hari Kerja,2011,Spring,Baik
61,2011-01-03,1,0,1,15.0,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Hari Kerja,2011,Spring,Baik
62,2011-01-03,1,0,1,16.0,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Hari Kerja,2011,Spring,Baik
63,2011-01-03,1,0,1,17.0,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Hari Kerja,2011,Spring,Baik
64,2011-01-03,1,0,1,18.0,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Hari Kerja,2011,Spring,Baik
65,2011-01-03,1,0,1,19.0,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,Hari Kerja,2011,Spring,Baik
66,2011-01-03,1,0,1,20.0,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Hari Kerja,2011,Spring,Baik
67,2011-01-03,1,0,1,21.0,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Hari Kerja,2011,Spring,Baik
68,2011-01-03,1,0,1,22.0,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Hari Kerja,2011,Spring,Baik
69,2011-01-03,1,0,1,23.0,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Hari Kerja,2011,Spring,Baik
70,2011-01-04,1,0,1,0.0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Hari Kerja,2011,Spring,Baik
71,2011-01-04,1,0,1,1.0,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Hari Kerja,2011,Spring,Baik
72,2011-01-04,1,0,1,2.0,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Hari Kerja,2011,Spring,Baik
73,2011-01-04,1,0,1,4.0,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Hari Kerja,2011,Spring,Baik
74,2011-01-04,1,0,1,5.0,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Hari Kerja,2011,Spring,Baik
75,2011-01-04,1,0,1,6.0,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Hari Kerja,2011,Spring,Baik
76,2011-01-04,1,0,1,7.0,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Hari Kerja,2011,Spring,Baik
77,2011-01-04,1,0,1,8.0,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Hari Kerja,2011,Spring,Baik
78,2011-01-04,1,0,1,9.0,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Hari Kerja,2011,Spring,Baik
79,2011-01-04,1,0,1,10.0,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Hari Kerja,2011,Spring,Sedang
80,2011-01-04,1,0,1,11.0,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Hari Kerja,2011,Spring,Baik
81,2011-01-04,1,0,1,12.0,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Hari Kerja,2011,Spring,Baik
82,2011-01-04,1,0,1,13.0,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,Hari Kerja,2011,Spring,Baik
83,2011-01-04,1,0,1,14.0,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,Hari Kerja,2011,Spring,Baik
84,2011-01-04,1,0,1,15.0,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,Hari Kerja,2011,Spring,Baik
85,2011-01-04,1,0,1,16.0,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,Hari Kerja,2011,Spring,Baik
86,2011-01-04,1,0,1,17.0,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,Hari Kerja,2011,Spring,Baik
87,2011-01-04,1,0,1,18.0,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,Hari Kerja,2011,Spring,Baik
88,2011-01-04,1,0,1,19.0,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,Hari Kerja,2011,Spring,Baik
89,2011-01-04,1,0,1,20.0,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,Hari Kerja,2011,Spring,Baik
90,2011-01-04,1,0,1,21.0,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,Hari Kerja,2011,Spring,Baik
91,2011-01-04,1,0,1,22.0,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Hari Kerja,2011,Spring,Baik
92,2011-01-04,1,0,1,23.0,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Hari Kerja,2011,Spring,Baik
93,2011-01-05,1,0,1,0.0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,Hari Kerja,2011,Spring,Baik
94,2011-01-05,1,0,1,1.0,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,Hari Kerja,2011,Spring,Baik
95,2011-01-05,1,0,1,2.0,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,Hari Kerja,2011,Spring,Baik
96,2011-01-05,1,0,1,4.0,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Hari Kerja,2011,Spring,Baik
97,2011-01-05,1,0,1,5.0,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Hari Kerja,2011,Spring,Baik
98,2011-01-05,1,0,1,6.0,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,Hari Kerja,2011,Spring,Baik
99,2011-01-05,1,0,1,7.0,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,Hari Kerja,2011,Spring,Baik
100,2011-01-05,1,0,1,8.0,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Hari Kerja,2011,Spring,Baik
101,2011-01-05,1,0,1,9.0,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,Hari Kerja,2011,Spring,Baik
102,2011-01-05,1,0,1,10.0,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,Hari Kerja,2011,Spring,Baik
103,2011-01-05,1,0,1,11.0,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Hari Kerja,2011,Spring,Baik
104,2011-01-05,1,0,1,12.0,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Hari Kerja,2011,Spring,Baik
105,2011-01-05,1,0,1,13.0,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Hari Kerja,2011,Spring,Baik
106,2011-01-05,1,0,1,14.0,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,Hari Kerja,2011,Spring,Baik
107,2011-01-05,1,0,1,15.0,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,Hari Kerja,2011,Spring,Baik
108,2011-01-05,1,0,1,16.0,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Hari Kerja,2011,Spring,Baik
109,2011-01-05,1,0,1,17.0,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,Hari Kerja,2011,Spring,Baik
110,2011-01-05,1,0,1,18.0,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Hari Kerja,2011,Spring,Baik
111,2011-01-05,1,0,1,19.0,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Hari Kerja,2011,Spring,Baik
112,2011-01-05,1,0,1,20.0,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Hari Kerja,2011,Spring,Baik
113,2011-01-05,1,0,1,21.0,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,Hari Kerja,2011,Spring,Baik
114,2011-01-05,1,0,1,22.0,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,Hari Kerja,2011,Spring,Baik
115,2011-01-05,1,0,1,23.0,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,Hari Kerja,2011,Spring,Baik
116,2011-01-06,1,0,1,0.0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,Hari Kerja,2011,Spring,Baik
117,2011-01-06,1,0,1,1.0,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,Hari Kerja,2011,Spring,Baik
118,2011-01-06,1,0,1,2.0,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,Hari Kerja,2011,Spring,Baik
119,2011-01-06,1,0,1,4.0,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,Hari Kerja,2011,Spring,Sedang
120,2011-01-06,1,0,1,5.0,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Hari Kerja,2011,Spring,Sedang
121,2011-01-06,1,0,1,6.0,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Hari Kerja,2011,Spring,Sedang
122,2011-01-06,1,0,1,7.0,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,Hari Kerja,2011,Spring,Sedang
123,2011-01-06,1,0,1,8.0,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,Hari Kerja,2011,Spring,Baik
124,2011-01-06,1,0,1,9.0,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,Hari Kerja,2011,Spring,Sedang
125,2011-01-06,1,0,1,10.0,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,Hari Kerja,2011,Spring,Baik
126,2011-01-06,1,0,1,11.0,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Hari Kerja,2011,Spring,Baik
127,2011-01-06,1,0,1,12.0,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,Hari Kerja,2011,Spring,Baik
128,2011-01-06,1,0,1,13.0,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Hari Kerja,2011,Spring,Baik
129,2011-01-06,1,0,1,14.0,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Hari Kerja,2011,Spring,Baik
130,2011-01-06,1,0,1,15.0,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,Hari Kerja,2011,Spring,Baik
131,2011-01-06,1,0,1,16.0,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Hari Kerja,2011,Spring,Baik
132,2011-01-06,1,0,1,17.0,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Hari Kerja,2011,Spring,Baik
133,2011-01-06,1,0,1,18.0,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Hari Kerja,2011,Spring,Baik
134,2011-01-06,1,0,1,19.0,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Hari Kerja,2011,Spring,Baik
135,2011-01-06,1,0,1,20.0,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Hari Kerja,2011,Spring,Baik
136,2011-01-06,1,0,1,21.0,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Hari Kerja,2011,Spring,Sedang
137,2011-01-06,1,0,1,22.0,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Hari Kerja,2011,Spring,Sedang
138,2011-01-06,1,0,1,23.0,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,Hari Kerja,2011,Spring,Sedang
139,2011-01-07,1,0,1,0.0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,Hari Kerja,2011,Spring,Sedang
140,2011-01-07,1,0,1,1.0,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,Hari Kerja,2011,Spring,Sedang
141,2011-01-07,1,0,1,2.0,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,Hari Kerja,2011,Spring,Sedang
142,2011-01-07,1,0,1,4.0,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Hari Kerja,2011,Spring,Sedang
143,2011-01-07,1,0,1,5.0,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,Hari Kerja,2011,Spring,Sedikit Buruk
144,2011-01-07,1,0,1,6.0,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,Hari Kerja,2011,Spring,Sedang
145,2011-01-07,1,0,1,7.0,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Hari Kerja,2011,Spring,Baik
146,2011-01-07,1,0,1,8.0,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,Hari Kerja,2011,Spring,Baik
147,2011-01-07,1,0,1,9.0,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Hari Kerja,2011,Spring,Baik
148,2011-01-07,1,0,1,10.0,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,Hari Kerja,2011,Spring,Baik
149,2011-01-07,1,0,1,11.0,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,Hari Kerja,2011,Spring,Sedang
150,2011-01-07,1,0,1,12.0,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,Hari Kerja,2011,Spring,Sedang
151,2011-01-07,1,0,1,13.0,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Hari Kerja,2011,Spring,Sedang
152,2011-01-07,1,0,1,14.0,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,Hari Kerja,2011,Spring,Sedang
153,2011-01-07,1,0,1,15.0,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Hari Kerja,2011,Spring,Sedang
154,2011-01-07,1,0,1,16.0,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Hari Kerja,2011,Spring,Sedang
155,2011-01-07,1,0,1,17.0,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,Hari Kerja,2011,Spring,Sedang
156,2011-01-07,1,0,1,18.0,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Hari Kerja,2011,Spring,Baik
157,2011-01-07,1,0,1,19.0,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,Hari Kerja,2011,Spring,Baik
158,2011-01-07,1,0,1,20.0,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Hari Kerja,2011,Spring,Baik
159,2011-01-07,1,0,1,21.0,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,Hari Kerja,2011,Spring,Baik
160,2011-01-07,1,0,1,22.0,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,Hari Kerja,2011,Spring,Sedang
161,2011-01-07,1,0,1,23.0,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,Hari Kerja,2011,Spring,Sedang
162,2011-01-08,1,0,1,0.0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,Hari Libur,2011,Spring,Sedang
163,2011-01-08,1,0,1,1.0,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,Hari Libur,2011,Spring,Sedang
164,2011-01-08,1,0,1,2.0,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,Hari Libur,2011,Spring,Sedang
165,2011-01-08,1,0,1,3.0,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,Hari Libur,2011,Spring,Sedikit Buruk
166,2011-01-08,1,0,1,4.0,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,Hari Libur,2011,Spring,Sedikit Buruk
167,2011-01-08,1,0,1,5.0,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,Hari Libur,2011,Spring,Sedang
168,2011-01-08,1,0,1,6.0,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,Hari Libur,2011,Spring,Sedang
169,2011-01-08,1,0,1,7.0,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,Hari Libur,2011,Spring,Sedang
170,2011-01-08,1,0,1,8.0,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,Hari Libur,2011,Spring,Sedikit Buruk
171,2011-01-08,1,0,1,9.0,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,Hari Libur,2011,Spring,Sedikit Buruk
172,2011-01-08,1,0,1,10.0,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,Hari Libur,2011,Spring,Sedang
173,2011-01-08,1,0,1,11.0,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,Hari Libur,2011,Spring,Sedang
174,2011-01-08,1,0,1,12.0,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,Hari Libur,2011,Spring,Sedang
175,2011-01-08,1,0,1,13.0,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,Hari Libur,2011,Spring,Baik
176,2011-01-08,1,0,1,14.0,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,Hari Libur,2011,Spring,Baik
177,2011-01-08,1,0,1,15.0,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,Hari Libur,2011,Spring,Baik
178,2011-01-08,1,0,1,16.0,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,Hari Libur,2011,Spring,Baik
179,2011-01-08,1,0,1,17.0,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,Hari Libur,2011,Spring,Baik
180,2011-01-08,1,0,1,18.0,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,Hari Libur,2011,Spring,Baik
181,2011-01-08,1,0,1,19.0,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,Hari Libur,2011,Spring,Baik
182,2011-01-08,1,0,1,20.0,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,Hari Libur,2011,Spring,Baik
183,2011-01-08,1,0,1,21.0,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,Hari Libur,2011,Spring,Baik
184,2011-01-08,1,0,1,22.0,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,Hari Libur,2011,Spring,Baik
185,2011-01-08,1,0,1,23.0,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,Hari Libur,2011,Spring,Baik
186,2011-01-09,1,0,1,0.0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,Hari Libur,2011,Spring,Baik
187,2011-01-09,1,0,1,1.0,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,Hari Libur,2011,Spring,Baik
188,2011-01-09,1,0,1,2.0,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,Hari Libur,2011,Spring,Baik
189,2011-01-09,1,0,1,3.0,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,Hari Libur,2011,Spring,Baik
190,2011-01-09,1,0,1,4.0,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Hari Libur,2011,Spring,Baik
191,2011-01-09,1,0,1,5.0,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Hari Libur,2011,Spring,Baik
192,2011-01-09,1,0,1,6.0,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,Hari Libur,2011,Spring,Baik
193,2011-01-09,1,0,1,7.0,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,Hari Libur,2011,Spring,Baik
194,2011-01-09,1,0,1,8.0,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,Hari Libur,2011,Spring,Baik
195,2011-01-09,1,0,1,9.0,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,Hari Libur,2011,Spring,Baik
196,2011-01-09,1,0,1,10.0,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,Hari Libur,2011,Spring,Baik
197,2011-01-09,1,0,1,11.0,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,Hari Libur,2011,Spring,Baik
198,2011-01-09,1,0,1,12.0,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,Hari Libur,2011,Spring,Baik
